Date,Value,Change
10/2019	100.19	-2.96
11/2019	100.04	-0.15
12/2019	100.01	-0.03
1/2020	100.02	0.01
2/2020	100.04	0.02
3/2020	100.04	0
4/2020	100	-0.04
5/2020	100	0
6/2020	100.01	0.01
7/2020	100.02	0.01
8/2020	100.18	0.16
9/2020	102.08	1.9
10/2020	101.35	-0.73
11/2020	100	-1.35
12/2020	100.01	0.01
1/2021	100.33	0.32
2/2021	100	-0.33
3/2021	100.01	0.01
4/2021	100.03	0.02
5/2021	100.03	0
6/2021	100.03	0
7/2021	100.03	0
8/2021	100.04	0.01
9/2021	97.11	-2.93
10/2021	100.25	3.14
11/2021	99.08	-1.17
12/2021	99.57	0.49
1/2022	100.03	0.46
2/2022	100.51	0.48
3/2022	100.1	-0.41
4/2022	100.96	0.86
5/2022	100.17	-0.79
6/2022	100.07	-0.1
7/2022	100.2	0.13
8/2022	101.46	1.26
9/2022	105.84	4.38
10/2022	102.35	-3.49
11/2022	99.37	-2.98
12/2022	100.32	0.95
