Date,Value,Change
12/2019, 101.4, 0.44
1/2020, 101.23, -0.17
2/2020, 99.83, -1.4
3/2020, 99.28, -0.55
4/2020, 98.46, -0.82
5/2020, 99.97, 1.51
6/2020, 100.66, 0.69
7/2020, 100.4, -0.26
8/2020, 100.07, -0.33
9/2020, 100.12, 0.05
10/2020, 100.09, -0.03
11/2020, 99.99, -0.1
12/2020, 100.1, 0.11
1/2021, 100.06, -0.04
2/2021, 101.52, 1.46
3/2021, 99.73, -1.79
4/2021, 99.96, 0.23
5/2021, 100.16, 0.2
6/2021, 100.19, 0.03
7/2021, 100.62, 0.43
8/2021, 100.25, -0.37
9/2021, 99.38, -0.87
10/2021, 99.8, 0.42
11/2021, 100.32, 0.52
12/2021, 99.82, -0.5
1/2022, 100.19, 0.37
2/2022, 101, 0.81
3/2022, 100.7, -0.3
4/2022, 100.18, -0.52
5/2022, 100.38, 0.2
6/2022, 100.69, 0.31
7/2022, 100.4, -0.29
8/2022, 100, -0.4
9/2022, 100.4, 0.4
10/2022, 100.15, -0.25
11/2022, 100.39, 0.24
12/2022, 99.99, -0.4
