Date, Value, Change
5/2019	99.63	0.02
6/2019	99.66	0.03
7/2019	100.05	0.39
8/2019	100.31	0.26
9/2019	100.3	-0.01
10/2019	100.05	-0.25
11/2019	100.26	0.21
12/2019	100.45	0.19
1/2020	100.79	0.34
2/2020	100.32	-0.47
3/2020	101.09	0.77
4/2020	102.09	1
5/2020	99.92	-2.17
6/2020	99.6	-0.32
7/2020	99.8	0.2
8/2020	100.6	0.8
9/2020	100.53	-0.07
10/2020	100.16	-0.37
11/2020	100.59	0.43
12/2020	100.43	-0.16
1/2021	100.83	0.4
2/2021	101.77	0.94
3/2021	100.01	-1.76
4/2021	99.99	-0.02
5/2021	99.91	-0.08
6/2021	99.72	-0.19
7/2021	100.36	0.64
8/2021	100.69	0.33
9/2021	100.12	-0.57
10/2021	99.83	-0.29
11/2021	100.22	0.39
12/2021	100.36	0.14
1/2022	100.08	-0.28
2/2022	100.35	0.27
3/2022	100.17	-0.18
4/2022	100.21	0.04
5/2022	100.28	0.07
6/2022	100.16	-0.12
7/2022	100.31	0.15
8/2022	100.19	-0.12
9/2022	99.92	-0.27
10/2022	100.13	0.21
11/2022	100.59	0.46
12/2022	100.48	-0.11
